state,county_name,party,candidatevotes,totalvotes,win_percentage
ALABAMA,AUTAUGA,REPUBLICAN,19838,27770,0.714368023046453
ALABAMA,BALDWIN,REPUBLICAN,83544,109679,0.7617137282433283
ALABAMA,BARBOUR,REPUBLICAN,5622,10518,0.5345122646891044
ALABAMA,BIBB,REPUBLICAN,7525,9595,0.7842626367899947
ALABAMA,BLOUNT,REPUBLICAN,24711,27588,0.8957155284906481
ALABAMA,BULLOCK,DEMOCRAT,3446,4613,0.7470192933015392
ALABAMA,BUTLER,REPUBLICAN,5458,9488,0.5752529510961214
ALABAMA,CALHOUN,REPUBLICAN,35101,50983,0.6884843967597042
ALABAMA,CHAMBERS,REPUBLICAN,8753,15284,0.5726903951845067
ALABAMA,CHEROKEE,REPUBLICAN,10583,12301,0.8603365580034144
ALABAMA,CHILTON,REPUBLICAN,16085,19310,0.8329880890730191
ALABAMA,CHOCTAW,REPUBLICAN,4296,7464,0.5755627009646302
ALABAMA,CLARKE,REPUBLICAN,7324,13135,0.5575942139322421
ALABAMA,CLAY,REPUBLICAN,5601,6930,0.8082251082251082
ALABAMA,CLEBURNE,REPUBLICAN,6484,7227,0.8971910889719109
ALABAMA,COFFEE,REPUBLICAN,16899,22275,0.7586531986531987
ALABAMA,COLBERT,REPUBLICAN,19203,27886,0.688625116545937
ALABAMA,CONECUH,REPUBLICAN,3442,6441,0.5343890700201832
ALABAMA,COOSA,REPUBLICAN,3631,5479,0.6627121737543348
ALABAMA,COVINGTON,REPUBLICAN,14586,17430,0.8368330464716007
ALABAMA,CRENSHAW,REPUBLICAN,4864,6617,0.7350763185733716
ALABAMA,CULLMAN,REPUBLICAN,36880,41851,0.8812214761893383
ALABAMA,DALE,REPUBLICAN,14303,19738,0.724642820954504
ALABAMA,DALLAS,DEMOCRAT,12230,17864,0.6846171070309002
ALABAMA,DEKALB,REPUBLICAN,24767,29356,0.8436776127537812
ALABAMA,ELMORE,REPUBLICAN,30164,41030,0.7351693882524982
ALABAMA,ESCAMBIA,REPUBLICAN,10869,15910,0.6831552482715273
ALABAMA,ETOWAH,REPUBLICAN,35528,47728,0.7443848474689909
ALABAMA,FAYETTE,REPUBLICAN,7300,8766,0.8327629477526808
ALABAMA,FRANKLIN,REPUBLICAN,10376,12578,0.8249324216886628
ALABAMA,GENEVA,REPUBLICAN,10848,12545,0.8647269828616979
ALABAMA,GREENE,DEMOCRAT,3884,4775,0.8134031413612566
ALABAMA,HALE,DEMOCRAT,4663,7900,0.590253164556962
ALABAMA,HENRY,REPUBLICAN,6607,9298,0.7105829210582921
ALABAMA,HOUSTON,REPUBLICAN,32618,46173,0.7064301648149351
ALABAMA,JACKSON,REPUBLICAN,19670,23636,0.8322051108478592
ALABAMA,JEFFERSON,DEMOCRAT,181688,325848,0.5575851317178562
ALABAMA,LAMAR,REPUBLICAN,6174,7193,0.858334491867093
ALABAMA,LAUDERDALE,REPUBLICAN,31721,44339,0.7154198335551095
ALABAMA,LAWRENCE,REPUBLICAN,12322,16031,0.7686357681991142
ALABAMA,LEE,REPUBLICAN,42221,71449,0.590924995451301
ALABAMA,LIMESTONE,REPUBLICAN,34640,49235,0.7035645374225652
ALABAMA,LOWNDES,DEMOCRAT,4972,6835,0.7274323335771763
ALABAMA,MACON,DEMOCRAT,7108,8723,0.8148572738736674
ALABAMA,MADISON,REPUBLICAN,102780,194767,0.5277074658438031
ALABAMA,MARENGO,DEMOCRAT,5488,10900,0.50348623853211
ALABAMA,MARION,REPUBLICAN,12205,13807,0.8839718983124502
ALABAMA,MARSHALL,REPUBLICAN,33191,39655,0.8369940738872778
ALABAMA,MOBILE,REPUBLICAN,101243,183164,0.5527450809110961
ALABAMA,MONROE,REPUBLICAN,6147,10668,0.5762092238470191
ALABAMA,MONTGOMERY,DEMOCRAT,64529,99139,0.6508941990538537
ALABAMA,MORGAN,REPUBLICAN,39664,53722,0.7383194966680318
ALABAMA,PERRY,DEMOCRAT,3860,5230,0.7380497131931166
ALABAMA,PICKENS,REPUBLICAN,5594,9668,0.5786098469176665
ALABAMA,PIKE,REPUBLICAN,8042,13841,0.5810273824145654
ALABAMA,RANDOLPH,REPUBLICAN,8559,10837,0.7897942234935867
ALABAMA,RUSSELL,DEMOCRAT,11228,21329,0.5264194289465047
ALABAMA,ST. CLAIR,REPUBLICAN,36166,44441,0.8137980693503747
ALABAMA,SHELBY,REPUBLICAN,79700,114950,0.6933449325793823
ALABAMA,SUMTER,DEMOCRAT,4648,6291,0.7388332538547131
ALABAMA,TALLADEGA,REPUBLICAN,22235,35663,0.623475310545944
ALABAMA,TALLAPOOSA,REPUBLICAN,14963,20991,0.7128293077985803
ALABAMA,TUSCALOOSA,REPUBLICAN,51117,90172,0.566883289712993
ALABAMA,WALKER,REPUBLICAN,26002,31170,0.8341995508501765
ALABAMA,WASHINGTON,REPUBLICAN,6564,8876,0.7395223073456512
ALABAMA,WILCOX,DEMOCRAT,4048,5903,0.6857530069456209
ALABAMA,WINSTON,REPUBLICAN,10195,11284,0.9034916696207019
ALASKA,DISTRICT 1,REPUBLICAN,3511,7314,0.48003828274541976
ALASKA,DISTRICT 2,REPUBLICAN,3674,6136,0.598761408083442
ALASKA,DISTRICT 3,REPUBLICAN,6076,8385,0.7246273106738224
