state,state_po,year,candidate,party,candidatevotes,Electoral_College_Votes
Alabama,AL,2020,DONALD J TRUMP,REPUBLICAN,1441170,9.0
Alabama,AL,2020,JOSEPH R BIDEN JR,DEMOCRAT,849624,9.0
Alabama,AL,2020,OTHER,OTHER,32488,9.0
Alaska,AK,2020,DONALD J TRUMP,REPUBLICAN,189951,3.0
Alaska,AK,2020,JO JORGENSEN,LIBERTARIAN,8897,3.0
Alaska,AK,2020,JOSEPH R BIDEN JR,DEMOCRAT,153778,3.0
Alaska,AK,2020,OTHER,GREEN,2673,3.0
Alaska,AK,2020,OTHER,OTHER,2270,3.0
Arizona,AZ,2020,DONALD J TRUMP,REPUBLICAN,1661686,11.0
Arizona,AZ,2020,JO JORGENSEN,LIBERTARIAN,51465,11.0
Arizona,AZ,2020,JOSEPH R BIDEN JR,DEMOCRAT,1672143,11.0
Arizona,AZ,2020,OTHER,GREEN,0,11.0
Arizona,AZ,2020,OTHER,OTHER,0,11.0
Arkansas,AR,2020,DONALD J TRUMP,REPUBLICAN,760647,6.0
Arkansas,AR,2020,JO JORGENSEN,LIBERTARIAN,13133,6.0
Arkansas,AR,2020,JOSEPH R BIDEN JR,DEMOCRAT,423932,6.0
Arkansas,AR,2020,OTHER,GREEN,2980,6.0
Arkansas,AR,2020,OTHER,OTHER,18377,6.0
California,CA,2020,DONALD J TRUMP,REPUBLICAN,6006429,55.0
California,CA,2020,JO JORGENSEN,LIBERTARIAN,187895,55.0
California,CA,2020,JOSEPH R BIDEN JR,DEMOCRAT,11110250,55.0
California,CA,2020,OTHER,GREEN,81029,55.0
California,CA,2020,OTHER,OTHER,115278,55.0
Colorado,CO,2020,DONALD J TRUMP,REPUBLICAN,1364607,9.0
Colorado,CO,2020,JO JORGENSEN,LIBERTARIAN,52460,9.0
Colorado,CO,2020,JOSEPH R BIDEN JR,DEMOCRAT,1804352,9.0
Colorado,CO,2020,OTHER,GREEN,8986,9.0
Colorado,CO,2020,OTHER,OTHER,26575,9.0
Connecticut,CT,2020,DONALD J TRUMP,REPUBLICAN,714717,7.0
Connecticut,CT,2020,JO JORGENSEN,LIBERTARIAN,20230,7.0
Connecticut,CT,2020,JOSEPH R BIDEN JR,DEMOCRAT,1080831,7.0
Connecticut,CT,2020,OTHER,GREEN,7538,7.0
Connecticut,CT,2020,OTHER,OTHER,541,7.0
Delaware,DE,2020,DONALD J TRUMP,REPUBLICAN,200603,3.0
Delaware,DE,2020,JO JORGENSEN,LIBERTARIAN,5000,3.0
Delaware,DE,2020,JOSEPH R BIDEN JR,DEMOCRAT,296268,3.0
Delaware,DE,2020,OTHER,GREEN,2139,3.0
District Of Columbia,DC,2020,DONALD J TRUMP,REPUBLICAN,18586,3.0
District Of Columbia,DC,2020,JO JORGENSEN,LIBERTARIAN,2036,3.0
District Of Columbia,DC,2020,JOSEPH R BIDEN JR,DEMOCRAT,317323,3.0
District Of Columbia,DC,2020,OTHER,GREEN,1726,3.0
District Of Columbia,DC,2020,OTHER,OTHER,4685,3.0
Florida,FL,2020,DONALD J TRUMP,REPUBLICAN,5668731,29.0
Florida,FL,2020,JO JORGENSEN,LIBERTARIAN,70324,29.0
Florida,FL,2020,JOSEPH R BIDEN JR,DEMOCRAT,5297045,29.0
Florida,FL,2020,OTHER,GREEN,14721,29.0
Florida,FL,2020,OTHER,OTHER,16635,29.0
Georgia,GA,2020,DONALD J TRUMP,REPUBLICAN,2461837,16.0
Georgia,GA,2020,JO JORGENSEN,LIBERTARIAN,62138,16.0
Georgia,GA,2020,JOSEPH R BIDEN JR,DEMOCRAT,2474507,16.0
Hawaii,HI,2020,DONALD J TRUMP,REPUBLICAN,196855,4.0
Hawaii,HI,2020,JO JORGENSEN,LIBERTARIAN,5539,4.0
Hawaii,HI,2020,JOSEPH R BIDEN JR,DEMOCRAT,366127,4.0
Hawaii,HI,2020,OTHER,GREEN,3822,4.0
Hawaii,HI,2020,OTHER,OTHER,2114,4.0
Idaho,ID,2020,DONALD J TRUMP,REPUBLICAN,554119,4.0
Idaho,ID,2020,JO JORGENSEN,LIBERTARIAN,16404,4.0
Idaho,ID,2020,JOSEPH R BIDEN JR,DEMOCRAT,287021,4.0
Idaho,ID,2020,OTHER,OTHER,9817,4.0
Illinois,IL,2020,DONALD J TRUMP,REPUBLICAN,2446891,20.0
Illinois,IL,2020,JO JORGENSEN,LIBERTARIAN,66544,20.0
Illinois,IL,2020,JOSEPH R BIDEN JR,DEMOCRAT,3471915,20.0
Illinois,IL,2020,OTHER,GREEN,30578,20.0
Illinois,IL,2020,OTHER,OTHER,17816,20.0
Indiana,IN,2020,DONALD J TRUMP,REPUBLICAN,1729519,11.0
Indiana,IN,2020,JO JORGENSEN,LIBERTARIAN,59232,11.0
Indiana,IN,2020,JOSEPH R BIDEN JR,DEMOCRAT,1242416,11.0
Indiana,IN,2020,OTHER,GREEN,989,11.0
