year,state,county_name,party,candidatevotes,win_percentage
2000,ALABAMA,AUTAUGA,REPUBLICAN,11993,0.6969432821943282
2000,ALABAMA,BALDWIN,REPUBLICAN,40872,0.7236543909348442
2000,ALABAMA,BARBOUR,DEMOCRAT,5188,0.4990860990860991
2000,ALABAMA,BIBB,REPUBLICAN,4273,0.6017462329249401
2000,ALABAMA,BLOUNT,REPUBLICAN,12667,0.704779391309186
2000,ALABAMA,BULLOCK,DEMOCRAT,3395,0.6922920065252854
2000,ALABAMA,BUTLER,REPUBLICAN,4127,0.5288991413558888
2000,ALABAMA,CALHOUN,REPUBLICAN,22306,0.5732863861831453
2000,ALABAMA,CHAMBERS,REPUBLICAN,6037,0.5101402737873922
2000,ALABAMA,CHEROKEE,REPUBLICAN,4154,0.5309983382334142
2000,ALABAMA,CHILTON,REPUBLICAN,10066,0.6669758812615956
2000,ALABAMA,CHOCTAW,DEMOCRAT,3707,0.5027122321670735
2000,ALABAMA,CLARKE,REPUBLICAN,5988,0.5569196428571429
2000,ALABAMA,CLAY,REPUBLICAN,3719,0.6321604623491416
2000,ALABAMA,CLEBURNE,REPUBLICAN,3333,0.6545561665357423
2000,ALABAMA,COFFEE,REPUBLICAN,9938,0.6439030711416354
2000,ALABAMA,COLBERT,DEMOCRAT,10543,0.4896433215678989
2000,ALABAMA,CONECUH,DEMOCRAT,2783,0.5013511079084849
2000,ALABAMA,COOSA,REPUBLICAN,2382,0.5215677687760018
2000,ALABAMA,COVINGTON,REPUBLICAN,8961,0.6582678322192023
2000,ALABAMA,CRENSHAW,REPUBLICAN,2793,0.5824817518248175
2000,ALABAMA,CULLMAN,REPUBLICAN,19157,0.648839966130398
2000,ALABAMA,DALE,REPUBLICAN,10593,0.6701885359989878
2000,ALABAMA,DALLAS,DEMOCRAT,10967,0.5939666377816292
2000,ALABAMA,DEKALB,REPUBLICAN,12827,0.6323391668720729
2000,ALABAMA,ELMORE,REPUBLICAN,16777,0.7047975130230213
2000,ALABAMA,ESCAMBIA,REPUBLICAN,6975,0.5981989708404802
2000,ALABAMA,ETOWAH,REPUBLICAN,21087,0.5359103385178408
2000,ALABAMA,FAYETTE,REPUBLICAN,4582,0.5868340163934426
2000,ALABAMA,FRANKLIN,REPUBLICAN,6119,0.551112311987751
2000,ALABAMA,GENEVA,REPUBLICAN,6588,0.6891934302751334
2000,ALABAMA,GREENE,DEMOCRAT,3504,0.7970882620564149
2000,ALABAMA,HALE,DEMOCRAT,4652,0.6017332815935843
2000,ALABAMA,HENRY,REPUBLICAN,4054,0.5848240046162724
2000,ALABAMA,HOUSTON,REPUBLICAN,22150,0.6909567333187759
2000,ALABAMA,JACKSON,DEMOCRAT,9066,0.506310733832235
2000,ALABAMA,JEFFERSON,REPUBLICAN,138491,0.5058791728611974
2000,ALABAMA,LAMAR,REPUBLICAN,4470,0.6166367774865499
2000,ALABAMA,LAUDERDALE,REPUBLICAN,17478,0.5438591032143635
2000,ALABAMA,LAWRENCE,DEMOCRAT,6296,0.5167008617152237
2000,ALABAMA,LEE,REPUBLICAN,22433,0.5862690779845285
2000,ALABAMA,LIMESTONE,REPUBLICAN,14204,0.600998561394601
2000,ALABAMA,LOWNDES,DEMOCRAT,4557,0.7299375300336377
2000,ALABAMA,MACON,DEMOCRAT,7665,0.8679651228626429
2000,ALABAMA,MADISON,REPUBLICAN,62151,0.5484653806103179
2000,ALABAMA,MARENGO,DEMOCRAT,4841,0.5038509575353872
2000,ALABAMA,MARION,REPUBLICAN,6910,0.5877849608710446
2000,ALABAMA,MARSHALL,REPUBLICAN,17084,0.6103826503269142
2000,ALABAMA,MOBILE,REPUBLICAN,78162,0.5593187591684855
2000,ALABAMA,MONROE,REPUBLICAN,5153,0.5756898670539604
2000,ALABAMA,MONTGOMERY,DEMOCRAT,40371,0.5025769345682701
2000,ALABAMA,MORGAN,REPUBLICAN,25774,0.6038752606546238
2000,ALABAMA,PERRY,DEMOCRAT,4020,0.6946604458268533
2000,ALABAMA,PICKENS,REPUBLICAN,4306,0.5042154566744731
2000,ALABAMA,PIKE,REPUBLICAN,6058,0.5745447647951442
2000,ALABAMA,RANDOLPH,REPUBLICAN,4666,0.5892158100770299
2000,ALABAMA,RUSSELL,DEMOCRAT,8396,0.5682571912013537
2000,ALABAMA,ST. CLAIR,REPUBLICAN,17117,0.7105437941054379
2000,ALABAMA,SHELBY,REPUBLICAN,47651,0.7669810713365954
2000,ALABAMA,SUMTER,DEMOCRAT,4415,0.7251971090670171
2000,ALABAMA,TALLADEGA,REPUBLICAN,13807,0.5424934187261797
2000,ALABAMA,TALLAPOOSA,REPUBLICAN,9805,0.6032732418630407
2000,ALABAMA,TUSCALOOSA,REPUBLICAN,34003,0.5656419469674285
2000,ALABAMA,WALKER,REPUBLICAN,13486,0.525954525954526
2000,ALABAMA,WASHINGTON,REPUBLICAN,4117,0.5419957872564508
2000,ALABAMA,WILCOX,DEMOCRAT,3444,0.6718689036285603
2000,ALABAMA,WINSTON,REPUBLICAN,6413,0.6882378192745224
2000,ALASKA,DISTRICT 1,REPUBLICAN,4681,0.7032752403846154
2000,ALASKA,DISTRICT 2,REPUBLICAN,4235,0.573226854358419
2000,ALASKA,DISTRICT 3,DEMOCRAT,3693,0.4489969604863222
2000,ALASKA,DISTRICT 4,REPUBLICAN,4127,0.527546976863096
2000,ALASKA,DISTRICT 5,REPUBLICAN,3545,0.5507223862047538
2000,ALASKA,DISTRICT 6,REPUBLICAN,3862,0.6331147540983607
2000,ALASKA,DISTRICT 7,REPUBLICAN,4868,0.5610233951826669
2000,ALASKA,DISTRICT 8,REPUBLICAN,5371,0.6732263725244422
2000,ALASKA,DISTRICT 9,REPUBLICAN,4789,0.7042647058823529
2000,ALASKA,DISTRICT 10,REPUBLICAN,5673,0.6385637100405223
2000,ALASKA,DISTRICT 11,REPUBLICAN,3960,0.5673352435530086
2000,ALASKA,DISTRICT 12,REPUBLICAN,4626,0.6086041310353901
2000,ALASKA,DISTRICT 13,REPUBLICAN,3853,0.48508120357547524
2000,ALASKA,DISTRICT 14,REPUBLICAN,3750,0.6390593047034765
2000,ALASKA,DISTRICT 15,REPUBLICAN,2453,0.4178875638841567
2000,ALASKA,DISTRICT 16,REPUBLICAN,1980,0.4226254002134472
2000,ALASKA,DISTRICT 17,REPUBLICAN,4564,0.5924195223260644
2000,ALASKA,DISTRICT 18,REPUBLICAN,5421,0.5485731633272617
2000,ALASKA,DISTRICT 19,REPUBLICAN,4619,0.5809332159476795
2000,ALASKA,DISTRICT 20,REPUBLICAN,3648,0.5239121068504955
2000,ALASKA,DISTRICT 21,REPUBLICAN,3263,0.4922311057474732
2000,ALASKA,DISTRICT 22,REPUBLICAN,4910,0.5759530791788856
2000,ALASKA,DISTRICT 23,REPUBLICAN,2961,0.639524838012959
2000,ALASKA,DISTRICT 24,REPUBLICAN,5063,0.6396715097915351
2000,ALASKA,DISTRICT 25,REPUBLICAN,5489,0.6693086208998903
2000,ALASKA,DISTRICT 26,REPUBLICAN,5869,0.6832363213038417
2000,ALASKA,DISTRICT 27,REPUBLICAN,6714,0.6432266717762023
2000,ALASKA,DISTRICT 28,REPUBLICAN,7113,0.6442934782608696
2000,ALASKA,DISTRICT 29,REPUBLICAN,4054,0.45948090218746457
2000,ALASKA,DISTRICT 30,REPUBLICAN,3622,0.5954298865691271
2000,ALASKA,DISTRICT 31,REPUBLICAN,3326,0.5575859178541492
2000,ALASKA,DISTRICT 32,REPUBLICAN,4178,0.6925244488645782
2000,ALASKA,DISTRICT 33,REPUBLICAN,5804,0.6662075298438935
2000,ALASKA,DISTRICT 34,REPUBLICAN,5243,0.7328767123287672
2000,ALASKA,DISTRICT 35,REPUBLICAN,4278,0.6703227828267001
2000,ALASKA,DISTRICT 36,REPUBLICAN,3007,0.5391787699480007
2000,ALASKA,DISTRICT 37,REPUBLICAN,2725,0.5419649960222752
2000,ALASKA,DISTRICT 38,REPUBLICAN,2467,0.4957797427652733
2000,ALASKA,DISTRICT 39,REPUBLICAN,2321,0.447378565921357
2000,ALASKA,DISTRICT 40,REPUBLICAN,1831,0.5675759454432734
2000,ARIZONA,APACHE,DEMOCRAT,13025,0.6694592927631579
2000,ARIZONA,COCHISE,REPUBLICAN,18180,0.5469149544237538
2000,ARIZONA,COCONINO,DEMOCRAT,20280,0.4960497028104591
2000,ARIZONA,GILA,REPUBLICAN,9158,0.5163509246729815
2000,ARIZONA,GRAHAM,REPUBLICAN,6007,0.6215852649006622
2000,ARIZONA,GREENLEE,REPUBLICAN,1619,0.5469594594594595
2000,ARIZONA,LA PAZ,REPUBLICAN,2543,0.567254070934642
2000,ARIZONA,MARICOPA,REPUBLICAN,479967,0.5322918180013508
2000,ARIZONA,MOHAVE,REPUBLICAN,24386,0.5524568994812079
2000,ARIZONA,NAVAJO,REPUBLICAN,12386,0.49254384220781805
2000,ARIZONA,PIMA,DEMOCRAT,147688,0.5134473647615074
2000,ARIZONA,PINAL,REPUBLICAN,20122,0.4873334947929281
2000,ARIZONA,SANTA CRUZ,DEMOCRAT,5233,0.5884403463398178
2000,ARIZONA,YAVAPAI,REPUBLICAN,40144,0.5883801371870786
2000,ARIZONA,YUMA,REPUBLICAN,15708,0.548233980175904
2000,ARKANSAS,ARKANSAS,REPUBLICAN,3353,0.5262084118016321
2000,ARKANSAS,ASHLEY,DEMOCRAT,4253,0.5142062628460887
2000,ARKANSAS,BAXTER,REPUBLICAN,9538,0.570864256643524
2000,ARKANSAS,BENTON,REPUBLICAN,34838,0.6494053610707229
2000,ARKANSAS,BOONE,REPUBLICAN,8569,0.6284561789512284
2000,ARKANSAS,BRADLEY,DEMOCRAT,2122,0.5332998240764011
2000,ARKANSAS,CALHOUN,REPUBLICAN,1128,0.5162471395881006
2000,ARKANSAS,CARROLL,REPUBLICAN,5556,0.5793534932221064
2000,ARKANSAS,CHICOT,DEMOCRAT,2820,0.633423180592992
2000,ARKANSAS,CLARK,DEMOCRAT,4661,0.5403431486204499
